unique_id,level,role,horizon_index,target_col,method,MAE,MASE,RMSSE,approach
GC/2037,2,middle,0,y,bu,0.3437009694544208,1.0373173804625107,0.8809683353001091,centralised
GC/2037,2,middle,0,y,mint_shrinkage,0.3427521731172238,1.034453836223296,0.871198684481261,centralised
GC/2037,2,middle,0,y,mint_var,0.3426605690519556,1.034177367730424,0.8680972161139342,centralised
GC/2037,2,middle,0,y,mint_ols,0.34781967703117483,1.0497479737226676,0.8720745758615636,centralised
GC/2037,2,middle,0,y,wls_structure,0.3428567834209533,1.0347695585979124,0.8682465020074458,centralised
GC/2037,2,middle,0,y,naive,0.3631815068493151,1.0961112210866741,1.0410185794931353,centralised
GC/2039,2,middle,0,y,base,0.17950294972088007,1.198882035809615,0.9718703124649132,centralised
GC/2039,2,middle,0,y,bu,0.17950294972088007,1.198882035809615,0.9718703124649132,centralised
GC/2039,2,middle,0,y,mint_shrinkage,0.1811200904926545,1.2096827553725547,0.9687298137704938,centralised
GC/2039,2,middle,0,y,mint_var,0.17962283643009153,1.1996827470081186,0.9706885347174079,centralised
GC/2039,2,middle,0,y,mint_ols,0.18208133261777235,1.2161027942502398,0.9694508429330011,centralised
GC/2039,2,middle,0,y,wls_structure,0.17967901158051355,1.200057935152963,0.9703014034942088,centralised
GC/2039,2,middle,0,y,naive,0.1872134703196347,1.25037982259786,1.08971832571083,centralised
GC/2041,2,middle,0,y,base,0.20267896468500313,1.1922904658427098,1.1116178300637138,centralised
GC/2041,2,middle,0,y,bu,0.20031229651331908,1.1783681730122832,1.12054075413907,centralised
GC/2041,2,middle,0,y,mint_shrinkage,0.1994001032655561,1.17300205465854,1.0993462332925827,centralised
GC/2041,2,middle,0,y,mint_var,0.1996334095091551,1.1743745148459943,1.1047885824401176,centralised
GC/2041,2,middle,0,y,mint_ols,0.2017669089036093,1.186925156156218,1.0943211577932226,centralised
GC/2041,2,middle,0,y,wls_structure,0.1994744251986325,1.1734392649647387,1.1005560945692283,centralised
GC/2041,2,middle,0,y,naive,0.22099514840182646,1.3000382592564572,1.2614909263714433,centralised
GC/2044,2,middle,0,y,base,0.23379001212306305,1.0316788615143007,0.9540015914264925,centralised
GC/2044,2,middle,0,y,bu,0.22668040868277542,1.0003052903489373,0.9328137321984667,centralised
GC/2044,2,middle,0,y,mint_shrinkage,0.22766187167087915,1.0046363334460748,0.9266879411281089,centralised
GC/2044,2,middle,0,y,mint_var,0.2276278383472259,1.004486149696644,0.9298338710379931,centralised
GC/2044,2,middle,0,y,mint_ols,0.23436915750746104,1.0342345397719008,0.9455531743461848,centralised
GC/2044,2,middle,0,y,wls_structure,0.22821567927966072,1.0070802000515693,0.9295793054359551,centralised
GC/2044,2,middle,0,y,naive,0.24977397260273973,1.1022135862461777,1.0703060397889674,centralised
GC/2046,2,middle,0,y,base,0.12195254769660877,0.9428196801743675,0.8680041148137043,centralised
GC/2046,2,middle,0,y,bu,0.12195254769660877,0.9428196801743675,0.8680041148137043,centralised
GC/2046,2,middle,0,y,mint_shrinkage,0.1251282749764475,0.9673713458414704,0.8704701834197585,centralised
GC/2046,2,middle,0,y,mint_var,0.12226453583824072,0.9452316720963683,0.8674966621442026,centralised
GC/2046,2,middle,0,y,mint_ols,0.1278280318739348,0.9882432667870654,0.8738548690251352,centralised
GC/2046,2,middle,0,y,wls_structure,0.12258497230445567,0.9477089783298106,0.8671916618018669,centralised
GC/2046,2,middle,0,y,naive,0.12868236301369865,0.9948481325907632,0.9747760628859018,centralised
