node_id,unique_id,level,role,method,MAE,MASE,RMSSE
14,GC/2046,2,middle,wls_structure,0.1302436351322061,1.0069183848628482,0.8824301697854396
15,GC/2047,2,middle,base,0.04524396566558931,0.7111350946432483,0.523332789516558
15,GC/2047,2,middle,naive,0.051408675843759105,0.8080307069422209,0.6208123987402121
15,GC/2047,2,middle,bu,0.04524396566558931,0.7111350946432483,0.523332789516558
15,GC/2047,2,middle,mint_cov,0.04755740055596381,0.7474971755421096,0.530150612298752
15,GC/2047,2,middle,mint_shrinkage,0.04658185561050223,0.7321637661710739,0.5260716291491946
15,GC/2047,2,middle,mint_ols,0.05163574606398453,0.8115997486956383,0.534351665851857
15,GC/2047,2,middle,mint_var,0.04530355582710451,0.7120717202136533,0.5233338423162499
15,GC/2047,2,middle,wls_structure,0.05163574605208381,0.8115997485085854,0.5343516658351801
16,GC/2048,2,middle,base,0.12609654236595114,0.9711827614437857,0.9320988803219604
16,GC/2048,2,middle,naive,0.14554452076503233,1.120969115706413,1.102535255198742
16,GC/2048,2,middle,bu,0.12586481197368254,0.969397997499817,0.9322047626557901
16,GC/2048,2,middle,mint_cov,0.1274134977120159,0.981325817753589,0.9282769257717073
16,GC/2048,2,middle,mint_shrinkage,0.1265261584715051,0.9744916210518608,0.9261711577434244
16,GC/2048,2,middle,mint_ols,0.13090391601843543,1.0082086650213962,0.9421004226039358
16,GC/2048,2,middle,mint_var,0.12587945529416308,0.969510778866809,0.9311646354668833
16,GC/2048,2,middle,wls_structure,0.1309039160169752,1.0082086650101498,0.9421004226052659
17,GC/2066,2,middle,base,0.41260170770505666,1.0648914401921998,0.9287320403201412
17,GC/2066,2,middle,naive,0.41813641609176483,1.079176072259643,1.0315832041625261
17,GC/2066,2,middle,bu,0.4130507088375949,1.0660502755865953,0.9333126652657862
17,GC/2066,2,middle,mint_cov,0.4144566231594617,1.0696788260725514,0.939831731547705
17,GC/2066,2,middle,mint_shrinkage,0.41242271322943286,1.0644294700127896,0.9322794560578226
17,GC/2066,2,middle,mint_ols,0.4133561437829213,1.0668385783316874,0.9267987110473623
17,GC/2066,2,middle,mint_var,0.4116197323285626,1.06235704163451,0.9272105898779748
17,GC/2066,2,middle,wls_structure,0.4133561437902213,1.066838578350528,0.9267987110489742
18,GC/2074,2,middle,base,0.6605875203732403,1.2293551409648313,1.0869757514454983
18,GC/2074,2,middle,naive,0.6993781395553296,1.301544586938268,1.2041995953831028
18,GC/2074,2,middle,bu,0.669073415471073,1.2451474144221237,1.1085819988181316
18,GC/2074,2,middle,mint_cov,0.6609450369839769,1.2300204803329458,1.095902857267045
18,GC/2074,2,middle,mint_shrinkage,0.6589665993360543,1.2263386025823975,1.0904683474189045
18,GC/2074,2,middle,mint_ols,0.6616862031691122,1.2313997925843951,1.085385079417631
18,GC/2074,2,middle,mint_var,0.662044166569116,1.2320659634285298,1.0917668677227745
18,GC/2074,2,middle,wls_structure,0.6616862031735823,1.231399792592714,1.0853850794076751
19,GC/2076,2,middle,base,0.5341441138843117,1.01525674785609,0.9365525828659554
19,GC/2076,2,middle,naive,0.5688501714481133,1.0812231382313344,1.0337048837273535
19,GC/2076,2,middle,bu,0.5298449592211477,1.007085271903442,0.9389685036338502
19,GC/2076,2,middle,mint_cov,0.5334344868427429,1.0139079477407527,0.9335012378220526
19,GC/2076,2,middle,mint_shrinkage,0.5295511530227446,1.0065268294948537,0.9271546099120793
19,GC/2076,2,middle,mint_ols,0.533172167917727,1.0134093537250368,0.9343235608579552
19,GC/2076,2,middle,mint_var,0.5289000366475195,1.0052892415922563,0.9324279175947707
19,GC/2076,2,middle,wls_structure,0.5331721679253683,1.0134093537395605,0.9343235608576019
20,GC/2077,2,middle,base,0.2617824973759583,1.0996644577482242,1.033420932859535
20,GC/2077,2,middle,naive,0.28437071925894364,1.194550345908946,1.1575579150950166
20,GC/2077,2,middle,bu,0.26046319424586584,1.094122487694072,1.032488233305508
20,GC/2077,2,middle,mint_cov,0.2589585516939007,1.0878019660679246,1.0195756096215554
20,GC/2077,2,middle,mint_shrinkage,0.25816709341984767,1.084477303256274,1.017882009062452
20,GC/2077,2,middle,mint_ols,0.26152706658425756,1.0985914747724204,1.0249937611769362
20,GC/2077,2,middle,mint_var,0.26004208190937167,1.0923535295941083,1.0284543070145533
20,GC/2077,2,middle,wls_structure,0.26152706658552194,1.0985914747777314,1.0249937611690565
21,GC/2079,2,middle,base,0.2722976746295503,1.1208056509258375,1.1108383076817065
21,GC/2079,2,middle,naive,0.2967069059723721,1.2212765949433,1.2293404648707442
21,GC/2079,2,middle,bu,0.2701332364621664,1.1118965975070607,1.1072754656311874
21,GC/2079,2,middle,mint_cov,0.2704842578165581,1.113341438040984,1.097959834404449
21,GC/2079,2,middle,mint_shrinkage,0.27035420165193885,1.1128061132922826,1.0993487098173413
21,GC/2079,2,middle,mint_ols,0.2739877141080752,1.127762029824025,1.1085415441695092
21,GC/2079,2,middle,mint_var,0.27057052047032804,1.1136965041279079,1.1061674682365172
21,GC/2079,2,middle,wls_structure,0.2739877141205163,1.1277620298752338,1.1085415441576658
22,GC/2081,2,middle,base,0.13689712309283258,1.1165255117713648,0.9882499140057052
22,GC/2081,2,middle,naive,0.13913869823607078,1.13480767707502,1.1270852267682934
22,GC/2081,2,middle,bu,0.13689712309283258,1.1165255117713648,0.9882499140057052
22,GC/2081,2,middle,mint_cov,0.1380651109934959,1.1260515577471193,0.9798530619010541
22,GC/2081,2,middle,mint_shrinkage,0.13749154690083668,1.1213736001127887,0.9776558909678034
22,GC/2081,2,middle,mint_ols,0.13714399722051757,1.1185390037683418,0.9812800710880287
22,GC/2081,2,middle,mint_var,0.13688279100426604,1.1164086200342707,0.9878947105273485
